,Unnamed: 0,DEU,AUT,FRA,BEL,NLD,NO2,DK1,GBR,CHE,CZE,DK2,POL,SE4,ITA,ESP,NO5,BGR,HRV,CYP,DNK,EST,FIN,GRC,HUN,IRL,PRT,ROU,SWE,NO1,NO3,NO4,SE1,SE2,SE3
Latitude,,51.0834196,47.59397,46.603354,50.6402809,52.2288689,58.085627599999995,56.1496278,54.7023545,46.7985624,49.8167003,55.6867243,52.215933,55.7029296,42.6384261,39.3260685,60.3943055,42.6073975,45.5643442,34.9823018,55.670249,58.7523778,63.2467777,38.9953683,47.1817585,52.865196,40.0332629,45.9852129,59.6749712,59.9133301,62.60162565,69.651648,65.5831187,62.3907552,59.3251172
Longitude,,10.4234469,14.12456,1.8883335,4.6667145,5.3214503,7.93185802875815,10.2134046,-3.2765753,8.2319736,15.4749544,12.5700724,19.134422,13.1929449,12.674297,-4.8379791,5.3259192,25.4856617,17.0118954,33.1451285,10.3333283,25.3319078,25.9209164,21.9877132,19.5060937,-7.9794599,-7.8896263,24.6859225,14.5208584,10.7389701,8.138620840166594,18.9558186,22.1459535,17.3071024,18.0710935
